,Unnamed: 0,bedrooms,Sqft.,lot Sqft.,full baths,half baths,stories,year built,Private Pool,zip,price
53,"18103 Svensson Slade Lane Houston, TX 77044",4.0,2660.0,8046.0,2.0,1,2.0,2017.0,False,77044,389000.0
54,"1117 Berthea Street Houston, TX 77006",3.0,4418.0,3800.0,3.0,1,3.0,2007.0,True,77006,1749000.0
55,"9831 Farrell Drive Houston, TX 77070",3.0,1820.0,5341.0,2.0,1,2.0,2001.0,False,77070,253000.0
56,"438 Gilpin Houston, TX 77034",3.0,1956.0,0.0,2.0,0,1.0,1956.0,False,77034,232000.0
58,"6305 Gay Street Houston, TX 77022",3.0,1788.0,7700.0,2.0,0,1.0,1940.0,False,77022,370000.0
59,"12723 Hill Branch Drive Houston, TX 77082",3.0,1863.0,4600.0,2.0,0,1.0,1982.0,False,77082,227000.0
60,"4006 Bering Street Houston, TX 77003",3.0,1124.0,4458.0,2.0,0,1.0,1935.0,False,77003,349900.0
61,"4435 Eigel Street Houston, TX 77007",3.0,1748.0,1809.0,2.0,0,2.0,2004.0,False,77007,349000.0
62,"2905 Mooney Road Houston, TX 77093",3.0,1102.0,4590.0,1.0,0,1.0,1955.0,False,77093,179900.0
63,"10311 Bushy Creek Drive Houston, TX 77070",2.0,1028.0,4620.0,1.0,0,1.0,1983.0,False,77070,185000.0
64,"4341 Alvin Street Houston, TX 77051",3.0,1264.0,6820.0,2.0,0,1.0,1948.0,False,77051,199900.0
65,"15702 Timber Rock Drive Houston, TX 77082",3.0,1510.0,6500.0,2.0,0,1.0,1981.0,False,77082,239500.0
66,"1123 Wynnwood Lane Houston, TX 77008",4.0,3642.0,9060.0,4.0,0,2.0,2015.0,False,77008,1069000.0
67,"3630 Spears Road Houston, TX 77066",4.0,1436.0,12217.0,2.0,0,1.0,1979.0,False,77066,249000.0
68,"626 Augusta Drive #626 Houston, TX 77057",2.0,1560.0,0.0,2.0,1,2.0,1978.0,False,77057,335000.0
69,"7319 Madison Commons Lane Houston, TX 77075",3.0,1207.0,0.0,2.0,0,1.0,2022.0,False,77075,260140.0
70,"8100 Creekbend Drive #161 Houston, TX 77071",2.0,937.0,145495.0,2.0,0,1.0,1976.0,False,77071,69000.0
71,"6804 Westview Drive #2105 Houston, TX 77055",2.0,1529.0,0.0,2.0,0,1.0,2022.0,False,77055,424466.0
72,"12711 Foliage Trail Houston, TX 77044",3.0,1650.0,4680.0,2.0,0,1.0,2017.0,False,77044,250000.0
73,"10710 Bancroft Park Lane Houston, TX 77075",4.0,1619.0,0.0,2.0,1,2.0,2022.0,False,77075,302970.0
74,"2490 Bering Drive Houston, TX 77057",2.0,1734.0,74834.0,2.0,1,2.0,1981.0,False,77057,289900.0
76,"9007 Wolcott Park Lane Houston, TX 77075",4.0,2676.0,5123.0,2.0,1,2.0,2003.0,False,77075,299000.0
77,"11814 S Ridgewood Circle Houston, TX 77071",3.0,1580.0,6000.0,2.0,0,1.0,1966.0,False,77071,205000.0
78,"20 Hackberry Lane Houston, TX 77027",2.0,1160.0,7200.0,1.0,0,1.0,1948.0,False,77027,725000.0
79,"14410 Providence Pine Trail Houston, TX 77062",4.0,2146.0,6726.0,2.0,1,2.0,1988.0,False,77062,323000.0
80,"6902 Winding Trace Drive Houston, TX 77086",3.0,1328.0,6930.0,2.0,0,1.0,1976.0,False,77086,228000.0
81,"18218 Humber River Lane Houston, TX 77044",4.0,2253.0,8013.0,2.0,0,1.0,2020.0,False,77044,355000.0
