,Unnamed: 0,bedrooms,Sqft.,lot Sqft.,full baths,half baths,stories,year built,Private Pool,zip,price
1606,"3407 Wildwood Ridge Court Houston, TX 77339",4.0,2759.0,11573.0,2.0,1,2.0,1980.0,False,77339,300000.0
1607,"4515 Elmstone Court Houston, TX 77345",3.0,2843.0,7332.0,2.0,0,1.0,1996.0,False,77345,415000.0
1608,"11231 Agave Ridge Lane Houston, TX 77089",4.0,2142.0,6014.0,2.0,0,1.0,2003.0,False,77089,345700.0
1609,"4166 W AMIR Street W Houston, TX 77072",3.0,1536.0,0.0,2.0,0,1.0,1981.0,False,77072,220000.0
1610,"15915 Stonehaven Drive Houston, TX 77059",3.0,1962.0,7588.0,2.0,0,1.0,1977.0,False,77059,280000.0
1611,"4310 Pinewood Park Drive Houston, TX 77345",3.0,1732.0,6900.0,2.0,0,1.0,1984.0,False,77345,300000.0
1612,"1509 Serpentine Drive Houston, TX 77029",3.0,1192.0,5796.0,1.0,0,1.0,1955.0,False,77029,189000.0
1613,"18922 Windy Stone Drive Houston, TX 77084",5.0,2648.0,6538.0,3.0,0,2.0,2013.0,False,77084,324990.0
1614,"1613 Bonner East Street Houston, TX 77007",3.0,2186.0,2238.0,3.0,1,4.0,2013.0,False,77007,459900.0
1615,"10946 Bexley Drive #946 Houston, TX 77099",3.0,1517.0,2399.0,2.0,0,1.0,1974.0,False,77099,186666.0
1616,"6818 Dumble Street Houston, TX 77021",0.0,2590.0,5000.0,0.0,0,1.0,2022.0,False,77021,499999.0
1617,"6814 Dumble Street Houston, TX 77021",0.0,2590.0,5000.0,0.0,0,1.0,2022.0,False,77021,499999.0
1618,"22110 Sovereign Heights Lane Houston, TX 77073",3.0,1849.0,3243.0,2.0,1,2.0,2022.0,False,77073,269990.0
1619,"6813 Liverpool Street Houston, TX 77021",0.0,2590.0,5000.0,0.0,0,1.0,2022.0,False,77021,499999.0
1620,"14555 Wunderlich Drive #2508 Houston, TX 77069",2.0,1098.0,463557.0,1.0,1,1.0,1981.0,False,77069,135980.0
1622,"1722 Rock Ridge Drive Houston, TX 77049",3.0,1483.0,4950.0,2.0,0,1.0,2004.0,False,77049,249786.0
1623,"13442 Bridgewalk Lane Houston, TX 77041",3.0,1703.0,13819.0,2.0,0,1.0,1983.0,False,77041,300000.0
1624,"606 Grand Oaks Drive Houston, TX 77015",3.0,1540.0,7700.0,2.0,0,1.0,1962.0,False,77015,230000.0
1625,"207 E 33rd Street Houston, TX 77018",3.0,1950.0,0.0,2.0,1,2.0,2022.0,False,77018,464999.0
1626,"834 Seamaster Drive Houston, TX 77062",3.0,1479.0,7992.0,2.0,0,1.0,1969.0,False,77062,244900.0
1627,"4105 Rusk Street Houston, TX 77023",3.0,1687.0,5000.0,2.0,0,1.0,1936.0,False,77023,250000.0
1628,"5515 Strack Road #138 Houston, TX 77069",2.0,1250.0,117503.0,2.0,1,2.0,1984.0,False,77069,204900.0
1629,"7334 Barton Oaks Drive Houston, TX 77095",3.0,1602.0,7130.0,2.0,0,1.0,1984.0,False,77095,269500.0
1630,"1723 Cottage Landing Lane Houston, TX 77077",5.0,3967.0,7989.0,3.0,1,2.0,1999.0,False,77077,999950.0
1631,"3015 Truxillo Street Houston, TX 77004",2.0,1242.0,5775.0,1.0,0,1.0,1936.0,False,77004,295000.0
1632,"2903 Sherman Street C Houston, TX 77003",2.0,1890.0,1750.0,2.0,0,3.0,2007.0,False,77003,335000.0
1633,"2811 Fontana Drive Houston, TX 77043",4.0,2295.0,7700.0,2.0,1,1.0,1971.0,False,77043,575000.0
1634,"136 Gessner Road Houston, TX 77024",4.0,3340.0,8015.0,3.0,1,2.0,1980.0,False,77024,599000.0
1635,"7207 Hazel Creek Circle Houston, TX 77095",4.0,2340.0,7924.0,2.0,1,2.0,2003.0,False,77095,325000.0
1636,"19022 Remington Mill Drive Houston, TX 77073",3.0,1225.0,3800.0,2.0,0,1.0,2006.0,False,77073,215000.0
1637,"4110 Portsmouth Avenue Houston, TX 77027",4.0,1722.0,7500.0,2.0,0,1.0,1950.0,False,77027,675000.0
1638,"9410 Wiloak Street Houston, TX 77028",3.0,1734.0,9900.0,2.0,1,2.0,1982.0,False,77028,235000.0
1639,"3533 Amos Street Houston, TX 77021",3.0,1780.0,3888.0,2.0,1,2.0,2022.0,False,77021,409000.0
1640,"1311 Antoine Drive #177 Houston, TX 77055",1.0,740.0,59678.0,1.0,0,1.0,1983.0,False,77055,157000.0
1642,"14202 Dartwood Drive Houston, TX 77049",3.0,1572.0,7440.0,2.0,0,1.0,1983.0,False,77049,210000.0
1643,"11810 Kingdom Come Place Houston, TX 77048",3.0,1376.0,5996.0,2.0,0,1.0,2009.0,False,77048,239900.0
1644,"1311 Antoine Drive #196 Houston, TX 77055",1.0,740.0,59678.0,1.0,0,1.0,1983.0,False,77055,137000.0
1645,"2200 Willowick Road 4D Houston, TX 77027",2.0,1535.0,0.0,2.0,0,1.0,1963.0,False,77027,418000.0
1646,"9718 Wheaton Edge Lane Houston, TX 77095",4.0,2757.0,5519.0,2.0,1,2.0,2007.0,False,77095,343000.0
1647,"4302 E Toliver Street Houston, TX 77016",3.0,1632.0,8150.0,2.0,0,1.0,1952.0,False,77016,215000.0
1648,"6260 Doliver Drive Houston, TX 77057",5.0,5330.0,8690.0,5.0,2,2.0,2019.0,False,77057,2525000.0
1649,"1442 Cheshire Lane Houston, TX 77018",4.0,3720.0,7380.0,3.0,1,2.0,2019.0,False,77018,1295000.0
1650,"14426 Mooreview Lane Houston, TX 77014",3.0,1687.0,3917.0,2.0,1,2.0,2006.0,False,77014,215000.0
1651,"22114 Sovereign Heights Lane Houston, TX 77073",3.0,1753.0,3244.0,2.0,1,2.0,2022.0,False,77073,272990.0
1652,"18019 Svensson Slade Lane Houston, TX 77044",4.0,1962.0,8049.0,2.0,0,1.0,2017.0,False,77044,342500.0
1653,"6111 Beverly Hill Street #51 Houston, TX 77057",2.0,1152.0,216981.0,2.0,1,2.0,1977.0,False,77057,179000.0
1654,"1254 Gardenia Drive Houston, TX 77018",5.0,4083.0,7380.0,5.0,2,2.0,2010.0,False,77018,1199000.0
1655,"1519 Rosewood Street Houston, TX 77004",3.0,2347.0,1640.0,3.0,1,3.0,2008.0,False,77004,449000.0
1656,"22111 Sovereign Heights Lane Houston, TX 77073",3.0,2094.0,3614.0,2.0,1,2.0,2022.0,False,77073,289990.0
1658,"7313 Concorde Field Houston, TX 77075",3.0,1207.0,0.0,2.0,0,1.0,2022.0,False,77075,264780.0
1659,"14022 Fort Nelson Drive Houston, TX 77083",4.0,1877.0,5459.0,2.0,0,1.0,2010.0,False,77083,350000.0
1660,"2238 Sherwood Hollow Lane Houston, TX 77339",3.0,1754.0,6240.0,2.0,0,1.0,1997.0,False,77339,245000.0
1661,"5742 Jackwood Street Houston, TX 77096",4.0,2375.0,9200.0,2.0,1,1.0,1968.0,False,77096,550000.0
1663,"5306 Chenevert Street Houston, TX 77004",3.0,2217.0,1552.0,3.0,1,3.0,2016.0,False,77004,515000.0
1664,"3522 E Marsham Lane Houston, TX 77066",3.0,1082.0,5775.0,2.0,0,1.0,1979.0,False,77066,169900.0
1665,"1410 Milby Street B Houston, TX 77003",3.0,1949.0,1604.0,3.0,1,3.0,2022.0,False,77003,469000.0
1666,"9715 Shive Drive Houston, TX 77078",3.0,1050.0,5800.0,1.0,0,1.0,2003.0,False,77078,155900.0
1667,"9114 Pembrook Street Houston, TX 77016",3.0,1850.0,9648.0,2.0,0,1.0,2022.0,False,77016,305000.0
1668,"7124 Saint Augustine Street Houston, TX 77021",3.0,1729.0,2500.0,2.0,1,2.0,2022.0,False,77021,379900.0
1670,"2120 El Paseo Street #2407 Houston, TX 77054",1.0,588.0,216787.0,1.0,0,1.0,1982.0,False,77054,110000.0
1671,"10746 Buffalo Bend Drive Houston, TX 77064",4.0,1614.0,7200.0,2.0,0,2.0,1983.0,False,77064,251000.0
1672,"1321 Laird Street Houston, TX 77008",4.0,2191.0,2500.0,2.0,1,2.0,2014.0,False,77008,485000.0
1675,"6406 Spring Creek Houston, TX 77084",4.0,2568.0,6353.0,2.0,1,2.0,1998.0,False,77084,340000.0
1677,"5735 Lotus Street Houston, TX 77085",3.0,1411.0,3741.0,2.0,0,2.0,2005.0,False,77085,229900.0
1678,"10202 Clearwick Street Houston, TX 77034",4.0,2029.0,0.0,3.0,0,2.0,2022.0,False,77034,313990.0
1679,"8207 Enchanted Forest Drive Houston, TX 77088",4.0,2033.0,8285.0,2.0,0,1.0,1979.0,False,77088,233000.0
1680,"3531 Amos Street Houston, TX 77021",3.0,1780.0,3888.0,2.0,1,2.0,2022.0,False,77021,409000.0
1681,"7202 Cart Gate Drive Houston, TX 77095",4.0,2516.0,10455.0,2.0,1,1.0,1982.0,False,77095,359000.0
1682,"3535 Amos Street Houston, TX 77021",3.0,1780.0,3888.0,2.0,1,2.0,2022.0,False,77021,409000.0
1683,"3537 Amos Street Houston, TX 77021",3.0,1780.0,3888.0,2.0,1,2.0,2022.0,False,77021,409000.0
1684,"2300 Old Spanish Trail #2093 Houston, TX 77054",1.0,907.0,121357.0,1.0,0,1.0,1983.0,False,77054,160000.0
1685,"21234 Colton Cove Drive Houston, TX 77095",4.0,2122.0,5530.0,2.0,0,1.0,2008.0,False,77095,315000.0
1686,"7311 Madison Commons Lane Houston, TX 77075",3.0,1207.0,0.0,2.0,0,1.0,2022.0,False,77075,252990.0
1687,"209 E 33rd Street Houston, TX 77018",3.0,1950.0,0.0,2.0,1,2.0,2022.0,False,77018,464999.0
1688,"10392 Hammerly Boulevard #35 Houston, TX 77043",2.0,1320.0,792.0,1.0,1,2.0,1970.0,False,77043,215000.0
1689,"3910 Luca Street Houston, TX 77021",2.0,846.0,6150.0,1.0,0,1.0,1952.0,False,77021,198000.0
1691,"3446 and 3450 Saint Benedict Street Houston, TX 77021",0.0,1946.0,11370.0,0.0,0,1.0,1953.0,False,77021,330000.0
1692,"5806 Forest Land Drive Houston, TX 77084",3.0,2144.0,7439.0,2.0,0,1.0,1991.0,False,77084,300000.0
1693,"5602 Edith Street Houston, TX 77081",3.0,2290.0,8960.0,2.0,0,1.0,1958.0,False,77081,379000.0
1694,"10107 Burgoyne Road Houston, TX 77042",3.0,2121.0,9373.0,2.0,1,1.0,1974.0,True,77042,650000.0
1695,"1109 Moody Street Houston, TX 77009",3.0,1779.0,6250.0,1.0,1,1.0,1961.0,False,77009,349000.0
1696,"2014 Round Lake Drive Houston, TX 77077",4.0,1786.0,7315.0,2.0,0,1.0,1970.0,False,77077,457000.0
1697,"9400 Doliver Drive #30 Houston, TX 77063",2.0,1558.0,1611.0,2.0,1,2.0,1977.0,False,77063,272000.0
1698,"4615 Cashel Glen Drive Houston, TX 77069",3.0,2005.0,3895.0,2.0,1,2.0,1975.0,False,77069,217500.0
1699,"1207 Hickory Street B Houston, TX 77007",3.0,2801.0,0.0,3.0,1,4.0,2022.0,False,77007,675000.0
1700,"9918 Hambleton Way Circle Houston, TX 77065",4.0,2053.0,8000.0,2.0,1,2.0,1982.0,False,77065,305000.0
1701,"5003 Village Springs Drive Houston, TX 77339",4.0,2003.0,8142.0,2.0,0,1.0,1982.0,False,77339,249000.0
1702,"16647 Lake Aquilla Lane Houston, TX 77044",3.0,1443.0,5944.0,2.0,0,1.0,2013.0,False,77044,264900.0
1703,"1005 S Shepherd Drive #214 Houston, TX 77019",1.0,1094.0,0.0,1.0,0,1.0,2000.0,False,77019,280000.0
1704,"4938 Bataan Road A/B Houston, TX 77033",0.0,3640.0,5610.0,0.0,0,2.0,2022.0,False,77033,615000.0
1705,"406 Charidges Drive Houston, TX 77034",4.0,1744.0,6267.0,2.0,1,2.0,1985.0,False,77034,275000.0
1706,"5218 Theall Road Houston, TX 77066",4.0,2626.0,10647.0,3.0,2,2.0,1973.0,False,77066,335000.0
1707,"5719 Braesvalley Drive Houston, TX 77096",3.0,1842.0,8280.0,2.0,0,1.0,1964.0,False,77096,249000.0
1708,"16603 Lake Aquilla Lane Houston, TX 77044",4.0,2348.0,10762.0,2.0,1,2.0,2013.0,False,77044,369900.0
1709,"823 W 21st Street Houston, TX 77008",4.0,3264.0,3275.0,4.0,1,3.0,2016.0,False,77008,684000.0
1710,"7729 Buena Vista Street Houston, TX 77087",5.0,1501.0,6000.0,2.0,0,1.0,1950.0,False,77087,279500.0
1711,"7342 Conley Street Houston, TX 77021",3.0,1350.0,4973.0,1.0,1,1.0,1977.0,False,77021,159000.0
1712,"915 Asbury Street D Houston, TX 77007",3.0,2350.0,2509.0,3.0,1,3.0,2003.0,False,77007,550000.0
1713,"7825 Cook Road Houston, TX 77072",2.0,792.0,768.0,1.0,0,1.0,1976.0,False,77072,129786.0
1714,"9930 Vogue Lane Houston, TX 77080",4.0,2497.0,9433.0,2.0,1,1.0,1967.0,False,77080,480000.0
1715,"7830 Braesview Lane Houston, TX 77071",5.0,3938.0,9200.0,2.0,1,1.0,1960.0,False,77071,569000.0
1716,"9618 Moorberry Lane Houston, TX 77080",4.0,2290.0,9520.0,2.0,0,1.0,1968.0,False,77080,525000.0
1717,"306 Fargo Street Houston, TX 77006",3.0,2535.0,1548.0,2.0,0,3.0,1999.0,False,77006,429900.0
1718,"1724 Wellington Street Houston, TX 77093",4.0,2201.0,12000.0,2.0,1,2.0,2022.0,False,77093,419999.0
1719,"5211 Sagecircle Street N Houston, TX 77056",3.0,3000.0,1771.0,3.0,1,3.0,1994.0,False,77056,657000.0
1720,"1419 Rising Springs Lane Houston, TX 77073",4.0,1798.0,4474.0,2.0,1,2.0,2006.0,False,77073,269900.0
1721,"819 W 24th Street C Houston, TX 77008",3.0,2391.0,1608.0,3.0,1,3.0,2015.0,False,77008,619000.0
1722,"10606 Mills Flat Street Houston, TX 77070",3.0,1968.0,8400.0,2.0,0,2.0,1980.0,False,77070,294500.0
1723,"523 Branding Iron Lane Houston, TX 77060",3.0,1334.0,5985.0,1.0,1,1.0,1968.0,False,77060,210000.0
1724,"5002 Van Fleet Street Houston, TX 77033",3.0,1086.0,5415.0,1.0,0,1.0,1953.0,False,77033,165000.0
1725,"16414 Lanesborough Drive Houston, TX 77084",4.0,2674.0,5510.0,3.0,0,2.0,2013.0,False,77084,450000.0
1726,"3003 Havel Street Houston, TX 77092",5.0,4841.0,12213.0,3.0,1,2.0,2008.0,False,77092,1100000.0
1727,"216 W 9th Street Houston, TX 77007",3.0,2267.0,6600.0,2.0,1,1.0,1995.0,False,77007,799000.0
1728,"7118 Hartland Avenue Houston, TX 77055",4.0,3099.0,8160.0,3.0,0,1.0,1955.0,False,77055,879900.0
1729,"8603 Valley Forest Drive Houston, TX 77078",3.0,1308.0,7800.0,2.0,0,1.0,1983.0,False,77078,199000.0
1730,"1605 W 24th Street B Houston, TX 77008",3.0,2646.0,2181.0,3.0,1,3.0,2012.0,False,77008,450000.0
1731,"6226 Pebble Beach Drive Houston, TX 77069",4.0,3817.0,11125.0,3.0,0,1.0,1977.0,True,77069,599900.0
1732,"815 W 24th Street C Houston, TX 77008",3.0,2404.0,1608.0,3.0,1,3.0,2015.0,False,77008,619000.0
1733,"5426 Stillbrooke Drive Houston, TX 77096",3.0,1873.0,8400.0,2.0,1,1.0,1960.0,False,77096,425000.0
1734,"13307 Bardwall Lake Court Houston, TX 77044",4.0,3181.0,13151.0,3.0,1,2.0,2015.0,True,77044,565000.0
1735,"4258 Bridledon Lane Houston, TX 77014",3.0,1928.0,7590.0,2.0,0,1.0,1983.0,False,77014,260000.0
1737,"16140 GARRETT Road Houston, TX 77044",3.0,2878.0,0.0,3.0,0,1.0,2006.0,False,77044,1350000.0
1738,"10311 Chatterton Drive Houston, TX 77043",4.0,2296.0,9075.0,2.0,0,1.0,1960.0,False,77043,565000.0
1739,"819 W 24th Street D Houston, TX 77008",3.0,2391.0,1608.0,3.0,1,3.0,2015.0,False,77008,629000.0
1741,"1043 Lamonte Lane Houston, TX 77018",3.0,2404.0,7400.0,2.0,1,2.0,2010.0,True,77018,834900.0
1742,"2204 Wavell Street Houston, TX 77088",3.0,1817.0,2976.0,2.0,1,2.0,2022.0,False,77088,313900.0
1743,"1002 Suwanee Lane Houston, TX 77090",5.0,3064.0,13237.0,2.0,1,2.0,1970.0,False,77090,324900.0
1745,"1716 Montrose Boulevard Houston, TX 77006",3.0,2244.0,1768.0,3.0,0,4.0,2000.0,False,77006,450000.0
1746,"9007 Dunlap Street Houston, TX 77074",3.0,1739.0,7705.0,2.0,0,1.0,1961.0,False,77074,270000.0
1747,"2210 Beaver Bend Road Houston, TX 77088",4.0,1456.0,6760.0,2.0,0,1.0,1975.0,False,77088,235000.0
1748,"5209 Schuler Street E Houston, TX 77007",3.0,2290.0,1533.0,3.0,1,3.0,2007.0,False,77007,425000.0
1749,"17406 Crescent Canyon Drive Houston, TX 77095",5.0,4601.0,12600.0,4.0,1,2.0,2001.0,False,77095,629700.0
1750,"2820 S Bartell Drive #6 Houston, TX 77054",2.0,825.0,92537.0,1.0,0,1.0,1980.0,False,77054,87000.0
1752,"9426 Grand Isle Court Houston, TX 77044",3.0,1280.0,0.0,2.0,0,1.0,1998.0,False,77044,70000.0
1753,"607 White Jasmine Trail Houston, TX 77079",4.0,5100.0,4113.0,4.0,1,3.0,2013.0,False,77079,895000.0
1754,"4302 Misty Timbers Way Houston, TX 77345",3.0,1524.0,8132.0,2.0,0,1.0,1988.0,False,77345,330000.0
1755,"390 Freeport Street Houston, TX 77015",3.0,1828.0,8636.0,2.0,0,1.0,1970.0,False,77015,219900.0
1756,"2000 Bagby Street #5406 Houston, TX 77002",1.0,1648.0,0.0,1.0,1,1.0,2004.0,False,77002,369000.0
1757,"5803 Lorinowoods Drive Houston, TX 77066",4.0,2502.0,10593.0,2.0,1,2.0,1975.0,False,77066,275000.0
1758,"9418 Spiralwood Lane Houston, TX 77086",3.0,1484.0,6300.0,2.0,0,1.0,1979.0,False,77086,210000.0
1759,"4815 Edfield Street Houston, TX 77033",3.0,1302.0,6270.0,2.0,0,1.0,1955.0,False,77033,245000.0
1760,"18731 Forest Deer Road Houston, TX 77084",4.0,2546.0,6756.0,2.0,1,2.0,2000.0,False,77084,359000.0
1761,"14311 Merganser Drive Houston, TX 77047",3.0,2216.0,5147.0,2.0,1,2.0,2010.0,False,77047,298500.0
1762,"5435 Cherie Crest Court Houston, TX 77088",3.0,1124.0,3983.0,1.0,0,1.0,2006.0,False,77088,159900.0
1763,"6509 Teluco Street Houston, TX 77055",5.0,2611.0,8125.0,5.0,0,2.0,1949.0,False,77055,654900.0
1764,"7726 Meadowglen Lane Houston, TX 77063",3.0,2489.0,12292.0,2.0,1,1.0,1962.0,False,77063,599000.0
1765,"7607 Sandygate Lane Houston, TX 77095",4.0,1944.0,7647.0,2.0,0,1.0,1986.0,True,77095,300000.0
1766,"2207 Bancroft Street #1004 Houston, TX 77027",2.0,1366.0,0.0,2.0,0,1.0,2010.0,False,77027,725000.0
1767,"10606 Sageforest Drive Houston, TX 77089",4.0,1862.0,7250.0,2.0,0,1.0,1971.0,True,77089,285000.0
1768,"2815 Dalton Street Houston, TX 77017",3.0,1984.0,6800.0,2.0,0,1.0,1956.0,False,77017,289000.0
1769,"14015 Pinerock Lane Houston, TX 77079",5.0,4375.0,8107.0,4.0,0,2.0,2022.0,False,77079,1399998.0
1770,"13310 Lakeside Terrace Drive Houston, TX 77044",5.0,4091.0,41273.0,4.0,2,1.5,2004.0,True,77044,1300000.0
1771,"5011 Caplin Street Houston, TX 77026",3.0,1152.0,6050.0,2.0,0,1.0,1961.0,False,77026,180000.0
1772,"624 E 35th Street Houston, TX 77022",2.0,1064.0,4500.0,1.0,0,1.0,2000.0,False,77022,283000.0
1773,"5610 Canal Street Houston, TX 77011",3.0,1681.0,1779.0,2.0,1,2.0,2021.0,False,77011,369900.0
1774,"3422 Europa Street Houston, TX 77022",3.0,1900.0,3000.0,2.0,1,2.0,2022.0,False,77022,499999.0
1775,"2830 S Bartell Drive #7 Houston, TX 77054",2.0,780.0,71874.0,1.0,0,1.0,1983.0,False,77054,82000.0
1776,"5600 Community Drive Houston, TX 77005",2.0,870.0,5800.0,1.0,0,1.0,1946.0,False,77005,539500.0
1777,"7146 Dixie Drive Houston, TX 77087",2.0,944.0,6160.0,1.0,0,1.0,1952.0,False,77087,179900.0
1778,"3419 Timbergrove Oaks Street Houston, TX 77008",3.0,2716.0,2713.0,3.0,1,3.0,2019.0,False,77008,695000.0
1779,"620 N Eldridge Parkway #0010 Houston, TX 77079",2.0,2398.0,0.0,2.0,2,2.0,1974.0,False,77079,348000.0
1780,"4139 Rosalind Lane Houston, TX 77053",3.0,1400.0,4500.0,2.0,0,1.0,2012.0,False,77053,249000.0
1781,"4026 Brandemere Way Street Houston, TX 77066",5.0,1656.0,6600.0,2.0,0,1.0,1979.0,False,77066,209999.0
1782,"3418 Oakdale St Houston, TX 77004",4.0,2678.0,6800.0,4.0,1,2.0,1935.0,False,77004,597000.0
1783,"8424 Montridge Drive Houston, TX 77055",3.0,1574.0,6600.0,2.0,0,1.0,1952.0,False,77055,399900.0
1784,"18046 Bambriar Drive Houston, TX 77090",5.0,2732.0,9000.0,3.0,0,2.0,1972.0,True,77090,375000.0
1785,"1902 Running Springs Drive Houston, TX 77339",4.0,3101.0,16500.0,2.0,1,1.0,1973.0,True,77339,469900.0
1786,"15914 Redwood Place Drive Houston, TX 77079",4.0,4110.0,16700.0,3.0,2,2.0,1988.0,True,77079,975000.0
1787,"10254 Rockcrest Drive Houston, TX 77041",2.0,957.0,2275.0,1.0,0,1.0,1979.0,False,77041,210000.0
1788,"1912 Courtney Lane Drive Houston, TX 77042",3.0,1471.0,3334.0,2.0,0,1.0,1979.0,False,77042,275000.0
1789,"8179 Sands Point Drive #128 Houston, TX 77036",1.0,961.0,92513.0,1.0,0,1.0,1982.0,False,77036,119000.0
1790,"8521 Sands Point Drive #73 Houston, TX 77036",1.0,758.0,89052.0,1.0,0,1.0,1982.0,False,77036,119000.0
1791,"8409 Sands Point Drive #17 Houston, TX 77036",1.0,758.0,97066.0,1.0,0,1.0,1980.0,False,77036,119000.0
1792,"8167 Sands Point Drive #122 Houston, TX 77036",1.0,961.0,92513.0,1.0,0,1.0,1982.0,False,77036,119000.0
1793,"2615 Stuart Manor Houston, TX 77082",3.0,3254.0,4586.0,2.0,1,2.0,2007.0,False,77082,675000.0
1794,"1529 Wirt Road #79 Houston, TX 77055",1.0,600.0,242299.0,1.0,0,1.0,1962.0,False,77055,109000.0
1795,"2067 Sherwood Forest Street Houston, TX 77043",3.0,1876.0,2020.0,3.0,1,2.0,2019.0,False,77043,387900.0
1796,"4334 Baneway Drive Houston, TX 77072",3.0,1572.0,7605.0,2.0,0,1.0,1970.0,False,77072,265000.0
1797,"18403 Ranch View Trail Houston, TX 77073",6.0,3136.0,5040.0,2.0,1,2.0,2009.0,False,77073,325000.0
1798,"1210 S Shepherd Drive Houston, TX 77019",4.0,3050.0,6370.0,3.0,0,2.0,1935.0,False,77019,1349000.0
1799,"2830 S Bartell Drive #24 Houston, TX 77054",2.0,780.0,71874.0,1.0,0,1.0,1983.0,False,77054,82000.0
1800,"15406 Wandering Creek Trail Houston, TX 77044",4.0,2836.0,6039.0,2.0,1,2.0,2019.0,False,77044,320000.0
1801,"12918 Old Pine Lane Houston, TX 77015",5.0,3678.0,9800.0,3.0,2,2.0,1995.0,False,77015,425000.0
1802,"8030 Barnes Ridge Lane B Houston, TX 77072",3.0,1624.0,2037.0,2.0,1,2.0,2005.0,False,77072,218900.0
1803,"13347 Indianapolis Street Houston, TX 77015",4.0,1518.0,7800.0,2.0,0,1.0,1952.0,False,77015,214900.0
1804,"3019 Falls At Fairdale Houston, TX 77057",3.0,2754.0,1554.0,3.0,1,3.0,2007.0,False,77057,399000.0
1805,"15419 Oakheath Colony Lane Houston, TX 77044",3.0,2240.0,6166.0,2.0,0,1.0,2019.0,False,77044,330000.0
1806,"3015 Elysian Street Houston, TX 77009",3.0,2898.0,2500.0,3.0,1,3.0,2017.0,False,77009,475000.0
1808,"2755 Freund Street Houston, TX 77003",4.0,2559.0,1500.0,4.0,1,4.0,2021.0,False,77003,675000.0
1809,"13622 Oak Ledge Drive Houston, TX 77065",3.0,1854.0,8800.0,2.0,0,1.0,1981.0,False,77065,250000.0
1810,"3031 Poplar Valley Way Houston, TX 77345",4.0,2858.0,17133.0,3.0,0,2.0,1995.0,True,77345,514900.0
1811,"13423 Oak Ledge Drive Houston, TX 77065",4.0,1832.0,6000.0,2.0,0,1.0,1981.0,False,77065,259900.0
1812,"212 E 25th Street Houston, TX 77008",3.0,1506.0,6000.0,2.0,0,1.0,1956.0,False,77008,635000.0
1813,"303 Big Hollow Lane Houston, TX 77042",4.0,3063.0,9600.0,2.0,1,2.0,1972.0,True,77042,647500.0
1814,"12506 Merit Way Court Houston, TX 77065",3.0,2385.0,8360.0,2.0,1,2.0,1993.0,False,77065,350000.0
1815,"6409 Highland Pine Lane Houston, TX 77091",3.0,1855.0,1705.0,2.0,1,2.0,2022.0,False,77091,329000.0
1816,"1629 Johanna Drive Houston, TX 77055",3.0,2590.0,3465.0,2.0,1,2.0,2016.0,False,77055,489000.0
1817,"6915 Pouter Drive Houston, TX 77083",2.0,1289.0,5003.0,2.0,0,1.0,1980.0,False,77083,199900.0
1818,"5534 Jackwood Street Houston, TX 77096",3.0,1895.0,7137.0,2.0,0,1.0,1961.0,False,77096,329000.0
1819,"11910 Wedemeyer Way Houston, TX 77082",4.0,3340.0,2719.0,3.0,1,3.0,2016.0,False,77082,539997.0
1820,"5531 Warm Springs Road Houston, TX 77035",4.0,1574.0,8400.0,2.0,0,1.0,1957.0,False,77035,329900.0
1821,"2705 Cohn Arbor Lane Houston, TX 77007",3.0,3489.0,1922.0,4.0,1,4.0,2014.0,False,77007,650000.0
1822,"12500 Sandpiper Drive #27 Houston, TX 77035",2.0,966.0,198010.0,1.0,0,1.0,1981.0,False,77035,65000.0
1823,"10626 Alcott Drive Houston, TX 77043",3.0,1370.0,7800.0,2.0,0,1.0,1978.0,False,77043,289000.0
1824,"10011 Valley Wind Drive Houston, TX 77078",3.0,1161.0,7150.0,1.0,0,1.0,1978.0,False,77078,169900.0
1825,"3131 Cummins Street #57 Houston, TX 77027",1.0,620.0,0.0,1.0,0,1.0,1969.0,False,77027,129900.0
1826,"906 Old Mill Lane Houston, TX 77073",2.0,2143.0,12500.0,2.0,0,1.0,1969.0,False,77073,275000.0
1827,"1403 Ruell Street Houston, TX 77017",3.0,1444.0,7823.0,1.0,0,1.0,1955.0,False,77017,174500.0
1828,"737 Tulane Street Houston, TX 77007",3.0,2361.0,3300.0,2.0,1,2.0,2018.0,False,77007,950000.0
1829,"5011 Poinciana Drive Houston, TX 77092",3.0,1547.0,7430.0,2.0,0,1.0,1955.0,False,77092,390000.0
1830,"11414 Piping Rock Drive Houston, TX 77077",3.0,2341.0,10394.0,2.0,0,1.0,1978.0,True,77077,439990.0
1831,"6407 Highland Pine Lane Houston, TX 77091",3.0,1855.0,1705.0,2.0,1,2.0,2022.0,False,77091,324900.0
1832,"3811 Grennoch Lane Houston, TX 77025",4.0,4842.0,7500.0,3.0,2,3.0,2013.0,True,77025,1690000.0
1833,"8119 Dorrcrest Lane Houston, TX 77070",4.0,2416.0,10702.0,2.0,1,2.0,1973.0,False,77070,240000.0
1834,"10818 Roaring Brook Lane Houston, TX 77024",5.0,5357.0,21565.0,4.0,3,2.0,1993.0,True,77024,2395000.0
1835,"6006 Memorial Drive Houston, TX 77007",5.0,5567.0,13154.0,5.0,1,2.0,2007.0,True,77007,1795000.0
1836,"8810 Carvel Lane Houston, TX 77036",3.0,1621.0,8470.0,2.0,0,1.0,1969.0,False,77036,235000.0
